digit(22395, 6).
digit(3482, 8).
initiatedAtNoise(sequence4 = true, 1).
digit(30169, 8).
initiatedAt(sequence4 = true, 2).
digit(24854, 7).
initiatedAtNoise(sequence3 = false, 3).
digit(25019, 6).
initiatedAtNoise(sequence3 = true, 4).
digit(19573, 9).
initiatedAtNoise(sequence4 = false, 5).
digit(22619, 6).
initiatedAtNoise(sequence3 = true, 6).
digit(7749, 6).
initiatedAt(sequence3 = true, 7).
digit(3354, 7).
initiatedAtNoise(sequence3 = false, 8).
digit(25826, 6).
initiatedAtNoise(sequence3 = true, 9).
digit(24752, 8).
initiatedAtNoise(sequence4 = true, 10).
digit(11788, 3).
initiatedAtNoise(sequence1 = false, 11).
digit(7701, 6).
initiatedAtNoise(sequence3 = true, 12).
digit(10267, 7).
initiatedAtNoise(sequence3 = false, 13).
digit(17586, 3).
initiatedAtNoise(sequence1 = false, 14).
digit(6660, 6).
initiatedAtNoise(sequence3 = true, 15).
digit(18666, 8).
initiatedAtNoise(sequence4 = true, 16).
digit(8592, 9).
initiatedAtNoise(sequence4 = false, 17).
digit(20529, 9).
initiatedAt(sequence4 = false, 18).
digit(28958, 9).
initiatedAt(sequence4 = false, 19).
digit(13537, 4).
initiatedAtNoise(sequence2 = true, 20).
digit(10210, 6).
initiatedAtNoise(sequence3 = true, 21).
digit(29021, 4).
initiatedAtNoise(sequence2 = true, 22).
digit(31904, 4).
initiatedAt(sequence2 = true, 23).
digit(19532, 3).
initiatedAtNoise(sequence1 = false, 24).
digit(18483, 2).
initiatedAtNoise(sequence1 = true, 25).
digit(26228, 9).
initiatedAtNoise(sequence4 = false, 26).
digit(15099, 3).
initiatedAtNoise(sequence1 = false, 27).
digit(12393, 6).
initiatedAtNoise(sequence3 = true, 28).
digit(11721, 7).
initiatedAtNoise(sequence3 = false, 29).
digit(17137, 4).
initiatedAtNoise(sequence2 = true, 30).
digit(24574, 8).
initiatedAtNoise(sequence4 = true, 31).
digit(7855, 6).
initiatedAtNoise(sequence3 = true, 32).
digit(26986, 2).
initiatedAtNoise(sequence1 = true, 33).
digit(13333, 1).
initiatedAtNoise(sequence0 = false, 34).
digit(30732, 8).
initiatedAtNoise(sequence4 = true, 35).
digit(30644, 4).
initiatedAtNoise(sequence2 = true, 36).
digit(4333, 8).
initiatedAtNoise(sequence4 = true, 37).
digit(4725, 7).
initiatedAtNoise(sequence3 = false, 38).
digit(28286, 6).
initiatedAtNoise(sequence3 = true, 39).
digit(3921, 9).
initiatedAtNoise(sequence4 = false, 40).
digit(20385, 9).
initiatedAt(sequence4 = false, 41).
digit(4919, 4).
initiatedAtNoise(sequence2 = true, 42).
digit(12652, 5).
initiatedAtNoise(sequence2 = false, 43).
digit(31835, 9).
initiatedAtNoise(sequence4 = false, 44).
digit(24968, 5).
initiatedAtNoise(sequence2 = false, 45).
digit(20632, 4).
initiatedAtNoise(sequence2 = true, 46).
digit(11979, 4).
initiatedAt(sequence2 = true, 47).
digit(5514, 6).
initiatedAtNoise(sequence3 = true, 48).
digit(6948, 8).
initiatedAtNoise(sequence4 = true, 49).
digit(3539, 2).
initiatedAtNoise(sequence1 = true, 50).
digit(13161, 8).
initiatedAtNoise(sequence4 = true, 51).
digit(5944, 4).
initiatedAtNoise(sequence2 = true, 52).
digit(26203, 6).
initiatedAtNoise(sequence3 = true, 53).
digit(28884, 7).
initiatedAtNoise(sequence3 = false, 54).
digit(10254, 0).
initiatedAtNoise(sequence0 = true, 55).
digit(4930, 9).
initiatedAtNoise(sequence4 = false, 56).
digit(7051, 9).
initiatedAt(sequence4 = false, 57).
digit(10607, 7).
initiatedAtNoise(sequence3 = false, 58).
digit(29649, 8).
initiatedAtNoise(sequence4 = true, 59).
digit(12258, 4).
initiatedAtNoise(sequence2 = true, 60).
digit(23513, 3).
initiatedAtNoise(sequence1 = false, 61).
digit(3423, 8).
initiatedAtNoise(sequence4 = true, 62).
digit(8888, 8).
initiatedAt(sequence4 = true, 63).
digit(9871, 1).
initiatedAtNoise(sequence0 = false, 64).
digit(15343, 0).
initiatedAtNoise(sequence0 = true, 65).
digit(11105, 9).
initiatedAtNoise(sequence4 = false, 66).
digit(6087, 6).
initiatedAtNoise(sequence3 = true, 67).
digit(14872, 9).
initiatedAtNoise(sequence4 = false, 68).
digit(20230, 3).
initiatedAtNoise(sequence1 = false, 69).
digit(26318, 3).
initiatedAt(sequence1 = false, 70).
digit(31352, 4).
initiatedAtNoise(sequence2 = true, 71).
digit(28710, 2).
initiatedAtNoise(sequence1 = true, 72).
digit(5322, 5).
initiatedAtNoise(sequence2 = false, 73).
digit(248, 8).
initiatedAtNoise(sequence4 = true, 74).
digit(7154, 7).
initiatedAtNoise(sequence3 = false, 75).
digit(2117, 5).
initiatedAtNoise(sequence2 = false, 76).
digit(32675, 2).
initiatedAtNoise(sequence1 = true, 77).
digit(15533, 5).
initiatedAtNoise(sequence2 = false, 78).
digit(28303, 8).
initiatedAtNoise(sequence4 = true, 79).
digit(20277, 9).
initiatedAtNoise(sequence4 = false, 80).
digit(18544, 9).
initiatedAt(sequence4 = false, 81).
digit(13692, 5).
initiatedAtNoise(sequence2 = false, 82).
digit(4156, 5).
initiatedAt(sequence2 = false, 83).
digit(5011, 7).
initiatedAtNoise(sequence3 = false, 84).
digit(3406, 2).
initiatedAtNoise(sequence1 = true, 85).
digit(22543, 7).
initiatedAtNoise(sequence3 = false, 86).
digit(2353, 7).
initiatedAt(sequence3 = false, 87).
digit(16132, 7).
initiatedAt(sequence3 = false, 88).
digit(3097, 8).
initiatedAtNoise(sequence4 = true, 89).
digit(28616, 8).
initiatedAt(sequence4 = true, 90).
digit(1955, 5).
initiatedAtNoise(sequence2 = false, 91).
digit(25718, 5).
initiatedAt(sequence2 = false, 92).
digit(16260, 4).
initiatedAtNoise(sequence2 = true, 93).
digit(15854, 4).
initiatedAt(sequence2 = true, 94).
digit(23283, 9).
initiatedAtNoise(sequence4 = false, 95).
digit(14184, 8).
initiatedAtNoise(sequence4 = true, 96).
digit(18538, 7).
initiatedAtNoise(sequence3 = false, 97).
digit(14268, 6).
initiatedAtNoise(sequence3 = true, 98).
digit(19899, 6).
initiatedAt(sequence3 = true, 99).
digit(11468, 2).
initiatedAtNoise(sequence1 = true, 100).
digit(7128, 5).
initiatedAtNoise(sequence2 = false, 101).
digit(31735, 6).
initiatedAtNoise(sequence3 = true, 102).
digit(24717, 8).
initiatedAtNoise(sequence4 = true, 103).
digit(12071, 6).
initiatedAtNoise(sequence3 = true, 104).
digit(18726, 5).
initiatedAtNoise(sequence2 = false, 105).
digit(22658, 6).
initiatedAtNoise(sequence3 = true, 106).
digit(15418, 9).
initiatedAtNoise(sequence4 = false, 107).
digit(10943, 5).
initiatedAtNoise(sequence2 = false, 108).
digit(28631, 6).
initiatedAtNoise(sequence3 = true, 109).
digit(7359, 9).
initiatedAtNoise(sequence4 = false, 110).
digit(26530, 5).
initiatedAtNoise(sequence2 = false, 111).
digit(11967, 6).
initiatedAtNoise(sequence3 = true, 112).
digit(14467, 6).
initiatedAt(sequence3 = true, 113).
digit(32393, 8).
initiatedAtNoise(sequence4 = true, 114).
digit(5262, 3).
initiatedAtNoise(sequence1 = false, 115).
digit(4801, 2).
initiatedAtNoise(sequence1 = true, 116).
digit(9668, 5).
initiatedAtNoise(sequence2 = false, 117).
digit(5141, 6).
initiatedAtNoise(sequence3 = true, 118).
digit(13232, 5).
initiatedAtNoise(sequence2 = false, 119).
digit(22212, 4).
initiatedAtNoise(sequence2 = true, 120).
digit(3329, 7).
initiatedAtNoise(sequence3 = false, 121).
digit(13160, 5).
initiatedAtNoise(sequence2 = false, 122).
digit(10971, 9).
initiatedAtNoise(sequence4 = false, 123).
digit(28190, 8).
initiatedAtNoise(sequence4 = true, 124).
digit(25239, 1).
initiatedAtNoise(sequence0 = false, 125).
digit(11612, 2).
initiatedAtNoise(sequence1 = true, 126).
digit(10234, 4).
initiatedAtNoise(sequence2 = true, 127).
digit(26826, 7).
initiatedAtNoise(sequence3 = false, 128).
digit(14412, 6).
initiatedAtNoise(sequence3 = true, 129).
digit(16923, 6).
initiatedAt(sequence3 = true, 130).
digit(17732, 5).
initiatedAtNoise(sequence2 = false, 131).
digit(24072, 8).
initiatedAtNoise(sequence4 = true, 132).
digit(31036, 1).
initiatedAtNoise(sequence0 = false, 133).
digit(3700, 7).
initiatedAtNoise(sequence3 = false, 134).
digit(2947, 4).
initiatedAtNoise(sequence2 = true, 135).
digit(18519, 8).
initiatedAtNoise(sequence4 = true, 136).
digit(23911, 5).
initiatedAtNoise(sequence2 = false, 137).
digit(2418, 6).
initiatedAtNoise(sequence3 = true, 138).
digit(30949, 9).
initiatedAtNoise(sequence4 = false, 139).
digit(11808, 3).
initiatedAtNoise(sequence1 = false, 140).
digit(13843, 2).
initiatedAtNoise(sequence1 = true, 141).
digit(27670, 6).
initiatedAtNoise(sequence3 = true, 142).
digit(6578, 8).
initiatedAtNoise(sequence4 = true, 143).
digit(29246, 5).
initiatedAtNoise(sequence2 = false, 144).
digit(29106, 8).
initiatedAtNoise(sequence4 = true, 145).
