happensAt(9113, 0).
happensAt(19182, 1).
happensAt(9447, 2).
happensAt(2977, 3).
happensAt(38506, 4).
happensAt(4369, 5).
happensAt(38744, 6).
happensAt(33190, 7).
happensAt(49311, 8).
happensAt(20652, 9).
happensAt(13132, 10).
happensAt(927, 11).
happensAt(49929, 12).
happensAt(4646, 13).
happensAt(53674, 14).
happensAt(55065, 15).
happensAt(25948, 16).
happensAt(35983, 17).
happensAt(53092, 18).
happensAt(27000, 19).
happensAt(21944, 20).
happensAt(24606, 21).
happensAt(1231, 22).
happensAt(32817, 23).
happensAt(50732, 24).
happensAt(20226, 25).
happensAt(25680, 26).
happensAt(9350, 27).
happensAt(16995, 28).
happensAt(7335, 29).
happensAt(39927, 30).
happensAt(9532, 31).
happensAt(2644, 32).
happensAt(21581, 33).
happensAt(52556, 34).
happensAt(39685, 35).
happensAt(52879, 36).
happensAt(55634, 37).
happensAt(44741, 38).
happensAt(4447, 39).
happensAt(7140, 40).
happensAt(49143, 41).
happensAt(9021, 42).
happensAt(39792, 43).
happensAt(46351, 44).
happensAt(56679, 45).
happensAt(2669, 46).
happensAt(39075, 47).
happensAt(14954, 48).
happensAt(41133, 49).
happensAt(3662, 50).
happensAt(47662, 51).
happensAt(53162, 52).
happensAt(5654, 53).
happensAt(55800, 54).
happensAt(10603, 55).
happensAt(57347, 56).
happensAt(935, 57).
happensAt(41405, 58).
happensAt(4790, 59).
happensAt(665, 60).
happensAt(19405, 61).
happensAt(25803, 62).
happensAt(40951, 63).
happensAt(56175, 64).
happensAt(24323, 65).
happensAt(16442, 66).
happensAt(19638, 67).
happensAt(45420, 68).
happensAt(46530, 69).
happensAt(30720, 70).
happensAt(54002, 71).
happensAt(3343, 72).
happensAt(55728, 73).
happensAt(42141, 74).
happensAt(6233, 75).
happensAt(26490, 76).
happensAt(26339, 77).
happensAt(39100, 78).
happensAt(3318, 79).
happensAt(31721, 80).
happensAt(22226, 81).
happensAt(50520, 82).
happensAt(41862, 83).
happensAt(56530, 84).
happensAt(50425, 85).
happensAt(54259, 86).
happensAt(23417, 87).
happensAt(16957, 88).
happensAt(10763, 89).
happensAt(56152, 90).
happensAt(47759, 91).
happensAt(39097, 92).
happensAt(50863, 93).
happensAt(49828, 94).
happensAt(54717, 95).
happensAt(42908, 96).
happensAt(32455, 97).
happensAt(12397, 98).
happensAt(5162, 99).
happensAt(35987, 100).
happensAt(45797, 101).
happensAt(17011, 102).
happensAt(30333, 103).
happensAt(5732, 104).
happensAt(47947, 105).
happensAt(52008, 106).
happensAt(41091, 107).
happensAt(29105, 108).
happensAt(22356, 109).
happensAt(22143, 110).
happensAt(57580, 111).
happensAt(58970, 112).
happensAt(58375, 113).
happensAt(42867, 114).
happensAt(46576, 115).
happensAt(51469, 116).
happensAt(4685, 117).
happensAt(54845, 118).
happensAt(52836, 119).
happensAt(20796, 120).
happensAt(22673, 121).
happensAt(8915, 122).
happensAt(33617, 123).
happensAt(59449, 124).
happensAt(438, 125).
happensAt(27411, 126).
happensAt(54869, 127).
happensAt(12625, 128).
happensAt(22817, 129).
happensAt(21137, 130).
happensAt(37470, 131).
happensAt(47434, 132).
happensAt(52463, 133).
happensAt(52626, 134).
happensAt(52908, 135).
happensAt(53600, 136).
happensAt(54782, 137).
happensAt(31734, 138).
happensAt(36377, 139).
happensAt(38422, 140).
happensAt(38569, 141).
happensAt(9837, 142).
happensAt(37327, 143).
happensAt(51150, 144).
happensAt(5929, 145).
happensAt(15138, 146).
happensAt(44077, 147).
happensAt(7514, 148).
happensAt(3958, 149).
happensAt(49479, 150).
happensAt(2857, 151).
happensAt(17607, 152).
happensAt(12435, 153).
happensAt(22889, 154).
happensAt(48432, 155).
happensAt(24587, 156).
happensAt(19448, 157).
happensAt(45087, 158).
happensAt(16699, 159).
happensAt(44833, 160).
happensAt(26909, 161).
happensAt(15152, 162).
happensAt(25341, 163).
happensAt(8999, 164).
happensAt(6760, 165).
happensAt(37619, 166).
happensAt(44121, 167).
happensAt(15124, 168).
happensAt(51406, 169).
happensAt(31859, 170).
happensAt(30605, 171).
happensAt(47809, 172).
happensAt(18216, 173).
happensAt(36628, 174).
happensAt(9997, 175).
happensAt(317, 176).
happensAt(34749, 177).
happensAt(25695, 178).
happensAt(33774, 179).
happensAt(11446, 180).
happensAt(50012, 181).
happensAt(24300, 182).
happensAt(31705, 183).
happensAt(5493, 184).
happensAt(35188, 185).
happensAt(40864, 186).
happensAt(42910, 187).
happensAt(6094, 188).
happensAt(15081, 189).
happensAt(5492, 190).
happensAt(50317, 191).
happensAt(5821, 192).
happensAt(46159, 193).
happensAt(9467, 194).
happensAt(17058, 195).
happensAt(10515, 196).
happensAt(53074, 197).
happensAt(30257, 198).
happensAt(4548, 199).
happensAt(1529, 200).
happensAt(13459, 201).
happensAt(113, 202).
happensAt(59919, 203).
happensAt(787, 204).
happensAt(39686, 205).
happensAt(50061, 206).
happensAt(57725, 207).
happensAt(38495, 208).
happensAt(40583, 209).
happensAt(28743, 210).
happensAt(57023, 211).
happensAt(43972, 212).
happensAt(6342, 213).
happensAt(9388, 214).
happensAt(18050, 215).
happensAt(5531, 216).
happensAt(50433, 217).
happensAt(24947, 218).
happensAt(34427, 219).
happensAt(13717, 220).
happensAt(26131, 221).
happensAt(55888, 222).
happensAt(14349, 223).
happensAt(29913, 224).
happensAt(36065, 225).
happensAt(5733, 226).
happensAt(11353, 227).
happensAt(32207, 228).
happensAt(40834, 229).
happensAt(35954, 230).
happensAt(55777, 231).
happensAt(54232, 232).
happensAt(46047, 233).
happensAt(24847, 234).
happensAt(48568, 235).
happensAt(32187, 236).
happensAt(10008, 237).
happensAt(47564, 238).
happensAt(32215, 239).
happensAt(21788, 240).
happensAt(8788, 241).
happensAt(986, 242).
happensAt(5812, 243).
happensAt(17626, 244).
happensAt(1685, 245).
happensAt(20754, 246).
happensAt(38397, 247).
happensAt(44802, 248).
happensAt(43291, 249).
happensAt(59832, 250).
happensAt(1884, 251).
happensAt(56204, 252).
happensAt(51891, 253).
happensAt(11137, 254).
happensAt(26730, 255).
happensAt(3996, 256).
happensAt(52444, 257).
happensAt(6209, 258).
happensAt(50586, 259).
happensAt(11094, 260).
happensAt(48166, 261).
happensAt(11530, 262).
happensAt(9684, 263).
happensAt(53572, 264).
happensAt(51390, 265).
happensAt(31994, 266).
happensAt(16428, 267).
happensAt(57759, 268).
happensAt(5777, 269).
happensAt(56620, 270).
happensAt(9028, 271).
happensAt(42764, 272).
happensAt(30398, 273).
happensAt(7494, 274).
happensAt(1419, 275).
happensAt(42932, 276).
happensAt(632, 277).
happensAt(33117, 278).
happensAt(18135, 279).
happensAt(1292, 280).
happensAt(23240, 281).
happensAt(20007, 282).
happensAt(12723, 283).
happensAt(48168, 284).
happensAt(24046, 285).
happensAt(26775, 286).
happensAt(505, 287).
happensAt(36889, 288).
happensAt(38783, 289).
happensAt(25106, 290).
happensAt(8288, 291).
happensAt(31844, 292).
happensAt(24226, 293).
happensAt(37613, 294).
happensAt(12115, 295).
happensAt(20388, 296).
happensAt(34658, 297).
happensAt(46951, 298).
happensAt(13167, 299).
happensAt(25903, 300).
happensAt(59011, 301).
happensAt(9879, 302).
happensAt(19580, 303).
happensAt(6295, 304).
happensAt(21431, 305).
happensAt(45368, 306).
happensAt(56652, 307).
happensAt(35881, 308).
happensAt(15503, 309).
happensAt(12744, 310).
happensAt(35010, 311).
happensAt(44910, 312).
happensAt(59996, 313).
happensAt(45931, 314).
happensAt(47170, 315).
happensAt(11716, 316).
happensAt(51166, 317).
happensAt(1579, 318).
happensAt(46786, 319).
happensAt(25459, 320).
happensAt(47656, 321).
happensAt(51710, 322).
happensAt(51450, 323).
happensAt(40141, 324).
happensAt(30497, 325).
happensAt(49617, 326).
happensAt(53036, 327).
happensAt(51864, 328).
happensAt(49633, 329).
happensAt(37109, 330).
happensAt(59746, 331).
happensAt(14098, 332).
happensAt(1571, 333).
happensAt(4331, 334).
happensAt(7488, 335).
happensAt(24500, 336).
happensAt(29437, 337).
happensAt(12100, 338).
happensAt(59750, 339).
happensAt(52583, 340).
happensAt(29862, 341).
happensAt(34851, 342).
happensAt(41945, 343).
happensAt(815, 344).
happensAt(16311, 345).
happensAt(46195, 346).
happensAt(33279, 347).
happensAt(21600, 348).
happensAt(5135, 349).
happensAt(34177, 350).
happensAt(54274, 351).
happensAt(58611, 352).
happensAt(43145, 353).
happensAt(29140, 354).
happensAt(24869, 355).
happensAt(39247, 356).
happensAt(55480, 357).
happensAt(3655, 358).
happensAt(30967, 359).
happensAt(31765, 360).
happensAt(11051, 361).
happensAt(24501, 362).
happensAt(58271, 363).
happensAt(46494, 364).
happensAt(16282, 365).
happensAt(7847, 366).
happensAt(53127, 367).
happensAt(258, 368).
happensAt(42435, 369).
happensAt(57969, 370).
happensAt(10354, 371).
happensAt(13998, 372).
happensAt(19250, 373).
happensAt(35756, 374).
happensAt(43454, 375).
happensAt(57067, 376).
happensAt(48973, 377).
happensAt(45467, 378).
happensAt(25163, 379).
happensAt(14183, 380).
happensAt(31316, 381).
happensAt(16835, 382).
happensAt(32016, 383).
happensAt(29971, 384).
happensAt(52504, 385).
happensAt(41306, 386).
happensAt(31257, 387).
happensAt(16878, 388).
happensAt(8073, 389).
happensAt(8887, 390).
happensAt(20038, 391).
happensAt(45439, 392).
happensAt(12270, 393).
happensAt(53848, 394).
happensAt(45578, 395).
happensAt(6634, 396).
happensAt(644, 397).
happensAt(28066, 398).
happensAt(36800, 399).
happensAt(15874, 400).
happensAt(43936, 401).
happensAt(13554, 402).
happensAt(34910, 403).
happensAt(55691, 404).
happensAt(11700, 405).
happensAt(47184, 406).
happensAt(20194, 407).
happensAt(26990, 408).
happensAt(16986, 409).
happensAt(16007, 410).
happensAt(38798, 411).
happensAt(42190, 412).
happensAt(34623, 413).
happensAt(16731, 414).
happensAt(6538, 415).
happensAt(44870, 416).
happensAt(34341, 417).
happensAt(59896, 418).
happensAt(15022, 419).
happensAt(29404, 420).
happensAt(29123, 421).
happensAt(20607, 422).
happensAt(58069, 423).
happensAt(45349, 424).
happensAt(8975, 425).
happensAt(14046, 426).
happensAt(3400, 427).
