digit(27448, 7).
digit(18395, 6).
initiatedAtNoise(sequence3 = true, 1).
digit(7760, 4).
initiatedAtNoise(sequence2 = true, 2).
digit(10687, 6).
initiatedAtNoise(sequence3 = true, 3).
digit(3438, 8).
initiatedAtNoise(sequence4 = true, 4).
digit(22135, 5).
digit(32054, 4).
digit(32592, 3).
initiatedAtNoise(sequence1 = false, 7).
digit(8787, 6).
digit(10505, 3).
initiatedAtNoise(sequence1 = false, 9).
digit(24919, 9).
initiatedAtNoise(sequence4 = false, 10).
digit(19461, 4).
initiatedAtNoise(sequence2 = true, 11).
digit(23662, 8).
initiatedAtNoise(sequence4 = true, 12).
digit(21016, 6).
initiatedAtNoise(sequence3 = true, 13).
digit(12921, 6).
initiatedAt(sequence3 = true, 14).
digit(31100, 9).
initiatedAtNoise(sequence4 = false, 15).
digit(16392, 6).
initiatedAtNoise(sequence3 = true, 16).
digit(15503, 7).
initiatedAtNoise(sequence3 = false, 17).
digit(3150, 7).
initiatedAt(sequence3 = false, 18).
digit(1270, 5).
digit(16897, 3).
initiatedAtNoise(sequence1 = false, 20).
digit(28873, 7).
digit(8844, 3).
initiatedAtNoise(sequence1 = false, 22).
digit(16548, 7).
initiatedAtNoise(sequence3 = false, 23).
digit(14746, 9).
initiatedAtNoise(sequence4 = false, 24).
digit(25672, 1).
initiatedAtNoise(sequence0 = false, 25).
digit(16331, 4).
initiatedAtNoise(sequence2 = true, 26).
digit(23661, 7).
initiatedAtNoise(sequence3 = false, 27).
digit(27264, 5).
initiatedAtNoise(sequence2 = false, 28).
digit(5092, 5).
initiatedAt(sequence2 = false, 29).
digit(15121, 9).
initiatedAtNoise(sequence4 = false, 30).
digit(9862, 6).
initiatedAtNoise(sequence3 = true, 31).
digit(27891, 7).
digit(16317, 5).
digit(32850, 8).
initiatedAtNoise(sequence4 = true, 34).
digit(18334, 3).
initiatedAtNoise(sequence1 = false, 35).
digit(15727, 7).
initiatedAtNoise(sequence3 = false, 36).
digit(29886, 6).
initiatedAtNoise(sequence3 = true, 37).
digit(2961, 7).
initiatedAtNoise(sequence3 = false, 38).
digit(23333, 0).
initiatedAtNoise(sequence0 = true, 39).
digit(7924, 4).
digit(5836, 8).
initiatedAtNoise(sequence4 = true, 41).
digit(9628, 8).
initiatedAt(sequence4 = true, 42).
digit(29133, 5).
initiatedAtNoise(sequence2 = false, 43).
digit(17984, 5).
initiatedAt(sequence2 = false, 44).
digit(25518, 8).
initiatedAtNoise(sequence4 = true, 45).
digit(20750, 6).
initiatedAtNoise(sequence3 = true, 46).
digit(6490, 6).
initiatedAt(sequence3 = true, 47).
digit(13656, 9).
digit(5690, 6).
digit(6520, 5).
initiatedAtNoise(sequence2 = false, 50).
digit(20564, 8).
initiatedAtNoise(sequence4 = true, 51).
digit(11055, 9).
initiatedAtNoise(sequence4 = false, 52).
digit(32565, 4).
digit(1842, 3).
initiatedAtNoise(sequence1 = false, 54).
digit(14151, 9).
initiatedAtNoise(sequence4 = false, 55).
digit(9089, 1).
initiatedAtNoise(sequence0 = false, 56).
digit(15949, 7).
initiatedAtNoise(sequence3 = false, 57).
digit(1708, 5).
digit(12865, 6).
initiatedAtNoise(sequence3 = true, 59).
digit(11525, 6).
initiatedAt(sequence3 = true, 60).
digit(14489, 6).
initiatedAt(sequence3 = true, 61).
digit(24579, 8).
initiatedAtNoise(sequence4 = true, 62).
digit(17269, 9).
initiatedAtNoise(sequence4 = false, 63).
digit(17519, 8).
initiatedAtNoise(sequence4 = true, 64).
digit(23248, 3).
digit(23574, 1).
initiatedAtNoise(sequence0 = false, 66).
digit(23027, 7).
initiatedAtNoise(sequence3 = false, 67).
digit(32252, 4).
digit(47, 6).
digit(19818, 5).
initiatedAtNoise(sequence2 = false, 70).
digit(14517, 5).
initiatedAt(sequence2 = false, 71).
digit(28505, 9).
initiatedAtNoise(sequence4 = false, 72).
digit(29011, 1).
initiatedAtNoise(sequence0 = false, 73).
digit(32204, 7).
initiatedAtNoise(sequence3 = false, 74).
digit(81, 9).
digit(14570, 7).
initiatedAtNoise(sequence3 = false, 76).
digit(11169, 2).
initiatedAtNoise(sequence1 = true, 77).
digit(32056, 3).
digit(11995, 1).
initiatedAtNoise(sequence0 = false, 79).
digit(13047, 5).
initiatedAtNoise(sequence2 = false, 80).
digit(1650, 3).
initiatedAtNoise(sequence1 = false, 81).
digit(15734, 1).
initiatedAtNoise(sequence0 = false, 82).
digit(8558, 6).
initiatedAtNoise(sequence3 = true, 83).
digit(17292, 9).
initiatedAtNoise(sequence4 = false, 84).
digit(30368, 5).
initiatedAtNoise(sequence2 = false, 85).
digit(25750, 4).
initiatedAtNoise(sequence2 = true, 86).
digit(22271, 9).
initiatedAtNoise(sequence4 = false, 87).
digit(15435, 3).
initiatedAtNoise(sequence1 = false, 88).
digit(1697, 4).
initiatedAtNoise(sequence2 = true, 89).
digit(22834, 9).
digit(25207, 7).
digit(23412, 9).
initiatedAtNoise(sequence4 = false, 92).
digit(25373, 4).
initiatedAtNoise(sequence2 = true, 93).
digit(31379, 8).
initiatedAtNoise(sequence4 = true, 94).
digit(311, 4).
initiatedAtNoise(sequence2 = true, 95).
digit(21513, 8).
initiatedAtNoise(sequence4 = true, 96).
digit(11630, 6).
initiatedAtNoise(sequence3 = true, 97).
digit(5634, 4).
initiatedAtNoise(sequence2 = true, 98).
digit(32381, 9).
initiatedAtNoise(sequence4 = false, 99).
digit(30952, 7).
initiatedAtNoise(sequence3 = false, 100).
digit(2718, 7).
initiatedAt(sequence3 = false, 101).
digit(13736, 6).
initiatedAtNoise(sequence3 = true, 102).
digit(4875, 6).
initiatedAt(sequence3 = true, 103).
digit(2894, 8).
digit(24367, 7).
digit(12677, 9).
initiatedAtNoise(sequence4 = false, 106).
digit(529, 6).
initiatedAtNoise(sequence3 = true, 107).
digit(13535, 2).
initiatedAtNoise(sequence1 = true, 108).
digit(24418, 6).
initiatedAtNoise(sequence3 = true, 109).
digit(5108, 7).
digit(12570, 8).
initiatedAtNoise(sequence4 = true, 111).
digit(17462, 8).
initiatedAt(sequence4 = true, 112).
digit(6079, 7).
initiatedAtNoise(sequence3 = false, 113).
digit(12283, 7).
initiatedAt(sequence3 = false, 114).
digit(27701, 1).
initiatedAtNoise(sequence0 = false, 115).
digit(6148, 4).
digit(12396, 6).
digit(523, 9).
digit(11667, 6).
initiatedAtNoise(sequence3 = true, 119).
digit(12003, 6).
initiatedAt(sequence3 = true, 120).
digit(9856, 4).
initiatedAtNoise(sequence2 = true, 121).
digit(5715, 6).
initiatedAtNoise(sequence3 = true, 122).
digit(9150, 4).
digit(23705, 4).
initiatedAt(sequence2 = true, 124).
digit(6002, 5).
digit(30403, 9).
initiatedAtNoise(sequence4 = false, 126).
digit(29902, 8).
initiatedAtNoise(sequence4 = true, 127).
digit(27846, 6).
initiatedAtNoise(sequence3 = true, 128).
digit(15917, 9).
digit(14455, 9).
initiatedAt(sequence4 = false, 130).
digit(17895, 7).
initiatedAtNoise(sequence3 = false, 131).
digit(20965, 9).
initiatedAtNoise(sequence4 = false, 132).
digit(25010, 7).
initiatedAtNoise(sequence3 = false, 133).
digit(1242, 8).
initiatedAtNoise(sequence4 = true, 134).
digit(6044, 9).
initiatedAtNoise(sequence4 = false, 135).
digit(28702, 3).
digit(25671, 7).
initiatedAtNoise(sequence3 = false, 137).
digit(15504, 3).
initiatedAtNoise(sequence1 = false, 138).
digit(10020, 7).
digit(14996, 7).
initiatedAt(sequence3 = false, 140).
digit(19125, 6).
digit(146, 7).
digit(10056, 8).
initiatedAtNoise(sequence4 = true, 143).
digit(6162, 6).
initiatedAtNoise(sequence3 = true, 144).
digit(24158, 5).
initiatedAtNoise(sequence2 = false, 145).
digit(9509, 9).
initiatedAtNoise(sequence4 = false, 146).
digit(10371, 9).
initiatedAt(sequence4 = false, 147).
digit(2733, 7).
initiatedAtNoise(sequence3 = false, 148).
digit(25734, 7).
initiatedAt(sequence3 = false, 149).
digit(25942, 8).
initiatedAtNoise(sequence4 = true, 150).
digit(12596, 5).
initiatedAtNoise(sequence2 = false, 151).
digit(30975, 3).
digit(7344, 5).
initiatedAtNoise(sequence2 = false, 153).
digit(14677, 5).
initiatedAt(sequence2 = false, 154).
digit(26145, 6).
initiatedAtNoise(sequence3 = true, 155).
digit(20575, 5).
initiatedAtNoise(sequence2 = false, 156).
digit(28286, 6).
initiatedAtNoise(sequence3 = true, 157).
digit(6104, 2).
initiatedAtNoise(sequence1 = true, 158).
digit(6158, 6).
digit(9925, 6).
initiatedAt(sequence3 = true, 160).
digit(4426, 3).
initiatedAtNoise(sequence1 = false, 161).
digit(21046, 6).
initiatedAtNoise(sequence3 = true, 162).
digit(14268, 6).
initiatedAt(sequence3 = true, 163).
digit(22550, 4).
initiatedAtNoise(sequence2 = true, 164).
digit(30701, 8).
digit(8740, 3).
initiatedAtNoise(sequence1 = false, 166).
digit(7313, 5).
initiatedAtNoise(sequence2 = false, 167).
digit(20739, 8).
initiatedAtNoise(sequence4 = true, 168).
digit(4916, 8).
initiatedAt(sequence4 = true, 169).
digit(15252, 6).
initiatedAtNoise(sequence3 = true, 170).
digit(19215, 6).
initiatedAt(sequence3 = true, 171).
digit(9016, 7).
initiatedAtNoise(sequence3 = false, 172).
digit(28880, 6).
initiatedAtNoise(sequence3 = true, 173).
digit(17421, 8).
initiatedAtNoise(sequence4 = true, 174).
digit(11268, 5).
initiatedAtNoise(sequence2 = false, 175).
digit(287, 4).
initiatedAtNoise(sequence2 = true, 176).
digit(508, 5).
digit(18000, 9).
digit(9877, 7).
initiatedAtNoise(sequence3 = false, 179).
digit(14785, 5).
digit(26665, 9).
digit(27726, 5).
initiatedAtNoise(sequence2 = false, 182).
digit(20293, 9).
initiatedAtNoise(sequence4 = false, 183).
digit(1000, 2).
initiatedAtNoise(sequence1 = true, 184).
digit(30513, 8).
digit(31062, 3).
digit(27934, 0).
initiatedAtNoise(sequence0 = true, 187).
digit(5414, 6).
digit(723, 8).
initiatedAtNoise(sequence4 = true, 189).
digit(24795, 5).
initiatedAtNoise(sequence2 = false, 190).
digit(8060, 1).
initiatedAtNoise(sequence0 = false, 191).
digit(31488, 8).
initiatedAtNoise(sequence4 = true, 192).
digit(30242, 4).
initiatedAtNoise(sequence2 = true, 193).
digit(27618, 6).
initiatedAtNoise(sequence3 = true, 194).
digit(29672, 6).
initiatedAt(sequence3 = true, 195).
digit(29051, 5).
initiatedAtNoise(sequence2 = false, 196).
digit(5707, 4).
initiatedAtNoise(sequence2 = true, 197).
digit(9927, 8).
initiatedAtNoise(sequence4 = true, 198).
digit(10099, 6).
initiatedAtNoise(sequence3 = true, 199).
digit(4554, 4).
initiatedAtNoise(sequence2 = true, 200).
digit(4685, 3).
initiatedAtNoise(sequence1 = false, 201).
digit(19406, 8).
initiatedAtNoise(sequence4 = true, 202).
digit(26719, 9).
initiatedAtNoise(sequence4 = false, 203).
digit(5014, 8).
digit(14301, 6).
digit(1322, 3).
initiatedAtNoise(sequence1 = false, 206).
digit(14138, 9).
initiatedAtNoise(sequence4 = false, 207).
digit(768, 8).
initiatedAtNoise(sequence4 = true, 208).
digit(7576, 0).
initiatedAtNoise(sequence0 = true, 209).
digit(6419, 4).
digit(13900, 7).
initiatedAtNoise(sequence3 = false, 211).
digit(22478, 9).
digit(5959, 7).
initiatedAtNoise(sequence3 = false, 213).
digit(19376, 5).
initiatedAtNoise(sequence2 = false, 214).
digit(15041, 3).
initiatedAtNoise(sequence1 = false, 215).
digit(16503, 7).
initiatedAtNoise(sequence3 = false, 216).
digit(8979, 8).
initiatedAtNoise(sequence4 = true, 217).
digit(187, 2).
initiatedAtNoise(sequence1 = true, 218).
digit(25386, 7).
initiatedAtNoise(sequence3 = false, 219).
digit(9067, 6).
initiatedAtNoise(sequence3 = true, 220).
digit(30374, 4).
initiatedAtNoise(sequence2 = true, 221).
digit(25430, 4).
initiatedAt(sequence2 = true, 222).
digit(25144, 9).
initiatedAtNoise(sequence4 = false, 223).
digit(7800, 9).
initiatedAt(sequence4 = false, 224).
digit(16639, 2).
initiatedAtNoise(sequence1 = true, 225).
digit(26297, 8).
initiatedAtNoise(sequence4 = true, 226).
digit(27184, 5).
