happensAt(46485, 0).
happensAt(10130, 1).
happensAt(42275, 2).
happensAt(15495, 3).
happensAt(9826, 4).
happensAt(47745, 5).
happensAt(26568, 6).
happensAt(48037, 7).
happensAt(21547, 8).
happensAt(12611, 9).
happensAt(16619, 10).
happensAt(58930, 11).
happensAt(8052, 12).
happensAt(26351, 13).
happensAt(1970, 14).
happensAt(58646, 15).
happensAt(23066, 16).
happensAt(37674, 17).
happensAt(34558, 18).
happensAt(38854, 19).
happensAt(42608, 20).
happensAt(27622, 21).
happensAt(41624, 22).
happensAt(24989, 23).
happensAt(14124, 24).
happensAt(48239, 25).
happensAt(39634, 26).
happensAt(16547, 27).
happensAt(58179, 28).
happensAt(37775, 29).
happensAt(49387, 30).
happensAt(34233, 31).
happensAt(50246, 32).
happensAt(28113, 33).
happensAt(20447, 34).
happensAt(37435, 35).
happensAt(34418, 36).
happensAt(37531, 37).
happensAt(41546, 38).
happensAt(48350, 39).
happensAt(15783, 40).
happensAt(41471, 41).
happensAt(57356, 42).
happensAt(50176, 43).
happensAt(48480, 44).
happensAt(39944, 45).
happensAt(15260, 46).
happensAt(20387, 47).
happensAt(12123, 48).
happensAt(11659, 49).
happensAt(11157, 50).
happensAt(33995, 51).
happensAt(54021, 52).
happensAt(15169, 53).
happensAt(11353, 54).
happensAt(28047, 55).
happensAt(55431, 56).
happensAt(49946, 57).
happensAt(41431, 58).
happensAt(9301, 59).
happensAt(33377, 60).
happensAt(49854, 61).
happensAt(13502, 62).
happensAt(33946, 63).
happensAt(57836, 64).
happensAt(29657, 65).
happensAt(98, 66).
happensAt(46762, 67).
happensAt(22305, 68).
happensAt(17547, 69).
happensAt(42222, 70).
happensAt(2485, 71).
happensAt(39761, 72).
happensAt(45417, 73).
happensAt(4476, 74).
happensAt(21574, 75).
happensAt(27448, 76).
happensAt(20380, 77).
happensAt(34757, 78).
happensAt(49390, 79).
happensAt(53069, 80).
happensAt(48217, 81).
happensAt(43520, 82).
happensAt(52687, 83).
happensAt(32719, 84).
happensAt(43486, 85).
happensAt(16433, 86).
happensAt(19994, 87).
happensAt(17850, 88).
happensAt(58011, 89).
happensAt(41679, 90).
happensAt(21527, 91).
happensAt(47931, 92).
happensAt(56815, 93).
happensAt(28795, 94).
happensAt(50591, 95).
happensAt(3314, 96).
happensAt(52740, 97).
happensAt(15875, 98).
happensAt(54033, 99).
happensAt(6294, 100).
happensAt(2917, 101).
happensAt(45743, 102).
happensAt(12288, 103).
happensAt(6347, 104).
happensAt(6886, 105).
happensAt(34289, 106).
happensAt(28782, 107).
happensAt(42907, 108).
happensAt(41035, 109).
happensAt(16191, 110).
happensAt(29381, 111).
happensAt(27732, 112).
happensAt(30597, 113).
happensAt(31058, 114).
happensAt(38609, 115).
happensAt(22922, 116).
happensAt(51045, 117).
happensAt(3527, 118).
happensAt(24910, 119).
happensAt(51080, 120).
happensAt(43401, 121).
happensAt(27376, 122).
happensAt(28638, 123).
happensAt(40583, 124).
happensAt(3946, 125).
happensAt(5778, 126).
happensAt(36362, 127).
happensAt(54673, 128).
happensAt(33973, 129).
happensAt(18424, 130).
happensAt(14573, 131).
happensAt(52564, 132).
happensAt(44720, 133).
happensAt(12291, 134).
happensAt(26834, 135).
happensAt(32654, 136).
happensAt(43695, 137).
happensAt(59350, 138).
happensAt(59016, 139).
happensAt(38357, 140).
happensAt(45242, 141).
happensAt(6374, 142).
happensAt(51223, 143).
happensAt(28812, 144).
happensAt(56916, 145).
happensAt(7162, 146).
happensAt(8326, 147).
happensAt(31468, 148).
happensAt(6571, 149).
happensAt(6945, 150).
happensAt(13239, 151).
happensAt(14321, 152).
happensAt(33751, 153).
happensAt(36393, 154).
happensAt(53276, 155).
happensAt(27154, 156).
happensAt(9771, 157).
happensAt(35222, 158).
happensAt(35506, 159).
happensAt(9348, 160).
happensAt(57917, 161).
happensAt(54002, 162).
happensAt(54519, 163).
happensAt(31147, 164).
happensAt(58942, 165).
happensAt(24195, 166).
happensAt(12569, 167).
happensAt(4454, 168).
happensAt(16443, 169).
happensAt(43399, 170).
happensAt(26754, 171).
happensAt(9564, 172).
happensAt(48184, 173).
happensAt(56946, 174).
happensAt(48094, 175).
happensAt(9016, 176).
happensAt(43199, 177).
happensAt(50421, 178).
happensAt(3940, 179).
happensAt(56182, 180).
happensAt(617, 181).
happensAt(50815, 182).
happensAt(40171, 183).
happensAt(59111, 184).
happensAt(52260, 185).
happensAt(35806, 186).
happensAt(40799, 187).
happensAt(32256, 188).
happensAt(27219, 189).
happensAt(23406, 190).
happensAt(51393, 191).
happensAt(24113, 192).
happensAt(9965, 193).
happensAt(29300, 194).
happensAt(4530, 195).
happensAt(34824, 196).
happensAt(32066, 197).
happensAt(22408, 198).
happensAt(26248, 199).
happensAt(24579, 200).
happensAt(40526, 201).
happensAt(7866, 202).
happensAt(17596, 203).
happensAt(3897, 204).
happensAt(7279, 205).
happensAt(57595, 206).
happensAt(3018, 207).
happensAt(28187, 208).
