digit(18657, 0).
digit(24475, 9).
digit(8301, 9).
initiatedAt(sequence4 = false, 2).
digit(28290, 6).
digit(27821, 5).
initiatedAtNoise(sequence2 = false, 4).
digit(16472, 4).
initiatedAtNoise(sequence2 = true, 5).
digit(13900, 7).
initiatedAtNoise(sequence3 = false, 6).
digit(21032, 7).
initiatedAt(sequence3 = false, 7).
digit(11388, 3).
digit(7646, 8).
digit(26001, 8).
initiatedAt(sequence4 = true, 10).
digit(1627, 5).
digit(18167, 9).
digit(26472, 3).
digit(22493, 8).
digit(2031, 8).
initiatedAt(sequence4 = true, 15).
digit(12095, 9).
initiatedAtNoise(sequence4 = false, 16).
digit(23930, 7).
initiatedAtNoise(sequence3 = false, 17).
digit(32368, 8).
initiatedAtNoise(sequence4 = true, 18).
digit(25338, 4).
digit(21371, 5).
digit(13436, 7).
digit(15531, 9).
digit(3394, 4).
digit(27618, 6).
digit(6757, 2).
initiatedAtNoise(sequence1 = true, 25).
digit(11923, 6).
digit(3626, 9).
initiatedAtNoise(sequence4 = false, 27).
digit(4275, 2).
initiatedAtNoise(sequence1 = true, 28).
digit(21096, 7).
digit(26236, 0).
initiatedAtNoise(sequence0 = true, 30).
digit(11915, 6).
digit(12175, 3).
initiatedAtNoise(sequence1 = false, 32).
digit(27483, 0).
digit(933, 2).
initiatedAtNoise(sequence1 = true, 34).
digit(27432, 6).
initiatedAtNoise(sequence3 = true, 35).
digit(17904, 1).
initiatedAtNoise(sequence0 = false, 36).
digit(16882, 6).
initiatedAtNoise(sequence3 = true, 37).
digit(12246, 6).
initiatedAt(sequence3 = true, 38).
digit(2750, 9).
digit(32743, 6).
initiatedAtNoise(sequence3 = true, 40).
digit(28540, 7).
digit(9645, 1).
initiatedAtNoise(sequence0 = false, 42).
digit(24904, 3).
initiatedAtNoise(sequence1 = false, 43).
digit(1911, 8).
initiatedAtNoise(sequence4 = true, 44).
digit(15473, 5).
digit(6114, 6).
digit(22421, 3).
initiatedAtNoise(sequence1 = false, 47).
digit(16742, 9).
initiatedAtNoise(sequence4 = false, 48).
digit(14578, 7).
initiatedAtNoise(sequence3 = false, 49).
digit(25308, 8).
digit(15231, 7).
initiatedAtNoise(sequence3 = false, 51).
digit(3510, 3).
initiatedAtNoise(sequence1 = false, 52).
digit(995, 7).
initiatedAtNoise(sequence3 = false, 53).
digit(29155, 9).
initiatedAtNoise(sequence4 = false, 54).
digit(12159, 8).
initiatedAtNoise(sequence4 = true, 55).
digit(13846, 9).
initiatedAtNoise(sequence4 = false, 56).
digit(2446, 5).
initiatedAtNoise(sequence2 = false, 57).
digit(30185, 8).
digit(19903, 9).
digit(19667, 6).
initiatedAtNoise(sequence3 = true, 60).
digit(20794, 5).
initiatedAtNoise(sequence2 = false, 61).
digit(26045, 8).
initiatedAtNoise(sequence4 = true, 62).
digit(28857, 7).
initiatedAtNoise(sequence3 = false, 63).
digit(8865, 1).
initiatedAtNoise(sequence0 = false, 64).
digit(26220, 1).
initiatedAt(sequence0 = false, 65).
digit(5252, 8).
digit(14562, 5).
initiatedAtNoise(sequence2 = false, 67).
digit(18280, 2).
initiatedAtNoise(sequence1 = true, 68).
digit(23995, 7).
initiatedAtNoise(sequence3 = false, 69).
digit(9873, 7).
initiatedAt(sequence3 = false, 70).
digit(6574, 7).
initiatedAt(sequence3 = false, 71).
digit(21240, 0).
digit(8679, 1).
initiatedAtNoise(sequence0 = false, 73).
digit(25396, 7).
digit(16590, 6).
digit(11904, 7).
initiatedAtNoise(sequence3 = false, 76).
digit(949, 9).
initiatedAtNoise(sequence4 = false, 77).
digit(11878, 9).
initiatedAt(sequence4 = false, 78).
digit(18625, 2).
initiatedAtNoise(sequence1 = true, 79).
digit(21506, 3).
digit(24063, 1).
digit(5100, 5).
digit(15013, 9).
initiatedAtNoise(sequence4 = false, 83).
digit(20148, 3).
initiatedAtNoise(sequence1 = false, 84).
digit(6625, 1).
initiatedAtNoise(sequence0 = false, 85).
digit(28743, 9).
initiatedAtNoise(sequence4 = false, 86).
digit(8008, 9).
initiatedAt(sequence4 = false, 87).
digit(29857, 7).
digit(3408, 9).
initiatedAtNoise(sequence4 = false, 89).
digit(20188, 2).
initiatedAtNoise(sequence1 = true, 90).
digit(4703, 7).
initiatedAtNoise(sequence3 = false, 91).
digit(27362, 7).
initiatedAt(sequence3 = false, 92).
digit(467, 3).
digit(24580, 8).
digit(31106, 7).
initiatedAtNoise(sequence3 = false, 95).
digit(1952, 3).
digit(31981, 5).
digit(18758, 8).
digit(10579, 7).
digit(12003, 6).
initiatedAtNoise(sequence3 = true, 100).
digit(6052, 8).
initiatedAtNoise(sequence4 = true, 101).
digit(2766, 6).
initiatedAtNoise(sequence3 = true, 102).
digit(27597, 7).
digit(27006, 1).
initiatedAtNoise(sequence0 = false, 104).
digit(24560, 7).
initiatedAtNoise(sequence3 = false, 105).
digit(24968, 5).
initiatedAtNoise(sequence2 = false, 106).
digit(18683, 9).
initiatedAtNoise(sequence4 = false, 107).
digit(17597, 9).
initiatedAt(sequence4 = false, 108).
digit(3774, 3).
initiatedAtNoise(sequence1 = false, 109).
digit(29403, 9).
initiatedAtNoise(sequence4 = false, 110).
digit(29751, 8).
initiatedAtNoise(sequence4 = true, 111).
digit(22071, 4).
initiatedAtNoise(sequence2 = true, 112).
digit(31290, 3).
initiatedAtNoise(sequence1 = false, 113).
digit(2429, 8).
digit(32874, 3).
digit(18536, 6).
digit(15049, 7).
initiatedAtNoise(sequence3 = false, 117).
digit(6604, 5).
initiatedAtNoise(sequence2 = false, 118).
digit(12179, 9).
digit(4007, 9).
initiatedAt(sequence4 = false, 120).
digit(31703, 6).
initiatedAtNoise(sequence3 = true, 121).
digit(17764, 8).
digit(32498, 2).
initiatedAtNoise(sequence1 = true, 123).
digit(24388, 9).
initiatedAtNoise(sequence4 = false, 124).
digit(20357, 7).
digit(7001, 7).
initiatedAt(sequence3 = false, 126).
digit(14631, 7).
initiatedAt(sequence3 = false, 127).
digit(2763, 3).
digit(23243, 5).
digit(17515, 1).
